sc_gid,latitude,longitude,country,state,county,elevation_m,timezone,sc_point_gid,sc_row_ind,sc_col_ind,res_gids,gen_gids,gid_counts,n_gids,offshore,capacity_factor_ac,capacity_factor_dc,lcoe_site_usd_per_mwh,resource,losses_wakes_pct,area_developable_sq_km,capacity_ac_mw,capacity_dc_mw,multiplier_cc_eos,multiplier_cc_regional,annual_energy_site_mwh,cost_site_cc_usd_per_ac_mw,cost_base_cc_usd_per_ac_mw,cost_site_foc_usd_per_ac_mw,cost_base_foc_usd_per_ac_mw,cost_site_voc_usd_per_ac_mwh,cost_base_voc_usd_per_ac_mwh,fixed_charge_rate,res_class,zone_id,trans_gid,trans_type,dist_spur_km,dist_export_km,dist_reinforcement_km,cost_spur_usd_per_mw_ac,cost_poi_usd_per_mw_ac,cost_export_usd_per_mw_ac,cost_reinforcement_usd_per_mw_ac,cost_total_trans_usd_per_mw_ac,lcot_usd_per_mwh,lcoe_all_in_usd_per_mwh,latitude_poi,longitude_poi,latitude_reinforcement_poi,longitude_reinforcement_poi,developable_ratio
1,41.99292076811808,-71.80788736558492,United States,RI,Providence,189.8,-5,1,0,1,"[2, 1, 0, 7, 6]","[2, 1, 0, 7, 6]","[1414.0, 1605.0, 1031.0, 23.0, 23.0]",4096,0,0.35844547,,,0.35844547,,33.1776,99.5328,,1,1,312531.22811425774,,,,,,,,1,1,43300,TransLine,11.298656541112187,,,,,,,11498.656,0.35155326,,,,,,1.0
2,41.993086159675855,-71.73837273978268,United States,RI,Providence,172.9,-5,2,0,2,"[2, 8, 18, 31, 17, 30, 7, 16, 29, 6]","[2, 8, 18, 31, 17, 30, 7, 16, 29, 6]","[286.0, 895.0, 806.0, 207.0, 535.0, 350.0, 466.0, 353.0, 187.0, 11.0]",4096,0,0.37431666,,,0.37431666,,33.1776,99.5328,,1,1,326369.4410698242,,,,,,,,1,1,43300,TransLine,5.6966070623743725,,,,,,,5896.607,0.17263553,,,,,,1.0
3,41.99320945764307,-71.66885760530704,United States,RI,Providence,131.54545454545453,-5,3,0,3,"[31, 47, 67, 66, 89, 30, 46, 65, 88, 45, 29]","[31, 47, 67, 66, 89, 30, 46, 65, 88, 45, 29]","[595.0, 876.0, 700.0, 536.0, 121.0, 179.0, 506.0, 381.0, 143.0, 52.0, 7.0]",4096,0,0.3458551,,,0.3458551,,33.1776,99.5328,,1,1,301553.5848178711,,,,,,,,1,1,43300,TransLine,1.8968116835632276,,,,,,,2096.8118,0.066440426,,,,,,1.0
4,41.993290661277086,-71.59934211049521,United States,RI,Providence,108.25,-5,4,0,4,"[67, 90, 89, 88]","[67, 90, 89, 88]","[65.0, 2886.0, 1053.0, 92.0]",4096,0,0.3265888,,,0.3265888,,33.1776,99.5328,,1,1,284755.17623730464,,,,,,,,1,1,43300,TransLine,4.277394957477117,,,,,,,4477.395,0.15024196,,,,,,1.0
5,41.99332977008879,-71.52982640368927,United States,RI,Providence,94.0,-5,5,0,5,[90],[90],[781.0],781,0,0.32650226,,,0.32650226,,6.326099999999999,18.978299999999997,,1,1,54280.971276312586,,,,,,,,1,1,43300,TransLine,6.488316028362223,,,,,,,6688.316,0.22449036,,,,,,0.190673828125
7,41.9410632428119,-71.8076377748881,United States,RI,Providence,197.33333333333337,-5,17,1,1,"[0, 6, 5, 4, 3, 13]","[0, 6, 5, 4, 3, 13]","[1873.0, 164.0, 470.0, 991.0, 596.0, 2.0]",4096,0,0.35868216,,,0.35868216,,33.1776,99.5328,,1,1,312737.5998984375,,,,,,,,1,1,43300,TransLine,13.50022942838052,,,,,,,13700.2295,0.4185865,,,,,,1.0
8,41.94122833556561,-71.73817950003621,United States,RI,Providence,191.8125,-5,18,1,2,"[6, 7, 16, 29, 15, 28, 45, 44, 5, 14, 27, 43, 13, 4, 26, 42]","[6, 7, 16, 29, 15, 28, 45, 44, 5, 14, 27, 43, 13, 4, 26, 42]","[330.0, 38.0, 174.0, 324.0, 525.0, 528.0, 2.0, 141.0, 160.0, 529.0, 529.0, 307.0, 315.0, 9.0, 157.0, 28.0]",4096,0,0.38159877,,,0.38159877,,33.1776,99.5328,,1,1,332718.7644580078,,,,,,,,1,1,43300,TransLine,9.329945713024683,,,,,,,9529.945,0.27368474,,,,,,1.0
9,41.941351410776015,-71.66872071805969,United States,RI,Providence,148.30769230769232,-5,19,1,3,"[29, 45, 46, 65, 88, 64, 87, 44, 63, 86, 43, 62, 85]","[29, 45, 46, 65, 88, 64, 87, 44, 63, 86, 43, 62, 85]","[10.0, 475.0, 24.0, 148.0, 157.0, 529.0, 479.0, 388.0, 529.0, 649.0, 177.0, 343.0, 188.0]",4096,0,0.34287596,,,0.34287596,,33.1776,99.5328,,1,1,298956.0599296875,,,,,,,,1,1,43300,TransLine,7.628528662055091,,,,,,,7828.529,0.2502132,,,,,,1.0
10,41.941432467702654,-71.59926157684407,United States,RI,Providence,123.25,-5,20,1,4,"[88, 89, 87, 86]","[88, 89, 87, 86]","[1427.0, 591.0, 1323.0, 449.0]",3790,0,0.328066,,,0.328066,,30.699,92.097,,1,1,264673.7080246496,,,,,,,,1,1,43300,TransLine,9.217632318570733,,,,,,,9417.632,0.31459194,,,,,,0.9252929687500001
11,41.94147150585789,-71.52980222427983,United States,RI,Providence,98.0,-5,21,1,5,"[90, 89]","[90, 89]","[11.0, 53.0]",64,0,0.3253819,,,0.3253819,,0.5184,1.5552,,1,1,4432.857300453185,,,,,,,,1,1,43300,TransLine,12.04393662230592,,,,,,,12243.937,0.41237736,,,,,,0.015625
13,41.889205246260715,-71.80738883919618,United States,RI,Providence,214.0,-5,33,2,1,"[3, 4, 13, 12, 11, 10, 9]","[3, 4, 13, 12, 11, 10, 9]","[2375.0, 63.0, 5.0, 159.0, 441.0, 770.0, 283.0]",4096,0,0.37462157,,,0.37462157,,33.1776,99.5328,,1,1,326635.29220605467,,,,,,,,1,1,43300,TransLine,17.412857885899594,,,,,,,17612.857,0.5152336,,,,,,1.0
14,41.88937004068889,-71.73798676741552,United States,RI,Providence,202.2,-5,34,2,2,"[13, 26, 42, 43, 12, 25, 41, 60, 11, 24, 40, 59, 23, 10, 39]","[13, 26, 42, 43, 12, 25, 41, 60, 11, 24, 40, 59, 23, 10, 39]","[207.0, 372.0, 460.0, 13.0, 370.0, 529.0, 528.0, 108.0, 191.0, 529.0, 457.0, 184.0, 118.0, 18.0, 12.0]",4096,0,0.3985871,,,0.3985871,,33.1776,99.5328,,1,1,347531.0200136719,,,,,,,,1,1,43300,TransLine,14.422181254706707,,,,,,,14622.182,0.4020278,,,,,,1.0
15,41.88949289349921,-71.66858419005217,United States,RI,Providence,167.54545454545453,-5,35,2,3,"[43, 62, 85, 86, 61, 42, 84, 60, 83, 59, 82]","[43, 62, 85, 86, 61, 42, 84, 60, 83, 59, 82]","[33.0, 186.0, 648.0, 9.0, 529.0, 39.0, 1015.0, 420.0, 951.0, 121.0, 145.0]",4096,0,0.37259367,,,0.37259367,,33.1776,99.5328,,1,1,324867.152184082,,,,,,,,1,1,43300,TransLine,13.384538642905175,,,,,,,13584.539,0.39955497,,,,,,1.0
16,41.889573803953425,-71.59918125454206,United States,RI,Providence,165.0,-5,36,2,4,"[86, 87, 85, 84, 83]","[86, 87, 85, 84, 83]","[711.0, 25.0, 984.0, 762.0, 75.0]",2557,0,0.35754555,,,0.35754555,,20.7117,62.1351,,1,1,194613.28821776176,,,,,,,,1,1,43300,TransLine,14.696756235616972,,,,,,,14896.756,0.4565911,,,,,,0.624267578125
18,41.83734677855495,-71.80714055651758,United States,RI,Providence,197.83333333333337,-5,49,3,1,"[9, 10, 22, 21, 20, 19]","[9, 10, 22, 21, 20, 19]","[2780.0, 268.0, 128.0, 410.0, 440.0, 70.0]",4096,0,0.40017426,,,0.40017426,,33.1776,99.5328,,1,1,348914.8698925781,,,,,,,,1,1,43300,TransLine,22.14754873661865,,,,,,,22347.549,0.611995,,,,,,1.0
19,41.83751127513446,-71.73779454037867,United States,RI,Providence,180.26666666666668,-5,50,3,2,"[10, 23, 39, 40, 59, 58, 22, 38, 57, 80, 21, 37, 56, 79, 36]","[10, 23, 39, 40, 59, 58, 22, 38, 57, 80, 21, 37, 56, 79, 36]","[8.0, 411.0, 517.0, 72.0, 104.0, 463.0, 400.0, 529.0, 529.0, 79.0, 217.0, 426.0, 266.0, 73.0, 2.0]",4096,0,0.38370547,,,0.38370547,,33.1776,99.5328,,1,1,334555.6084584961,,,,,,,,1,1,43300,TransLine,19.882293817111975,,,,,,,20082.293,0.5735647,,,,,,1.0
20,41.83763390590019,-71.66844802019223,United States,RI,Providence,152.57142857142858,-5,51,3,3,"[59, 82, 83, 81, 58, 80, 79]","[59, 82, 83, 81, 58, 80, 79]","[119.0, 1225.0, 243.0, 1534.0, 66.0, 875.0, 34.0]",4096,0,0.3677565,,,0.3677565,,33.1776,99.5328,,1,1,320649.5750097656,,,,,,,,1,1,43300,TransLine,19.14294047344296,,,,,,,19342.941,0.5764071,,,,,,1.0
21,41.83771467011613,-71.59910114294652,United States,RI,Providence,163.25,-5,52,3,4,"[83, 84, 82, 81]","[83, 84, 82, 81]","[552.0, 44.0, 446.0, 219.0]",1261,0,0.38158807,,,0.38158807,,10.2141,30.6423,,1,1,102428.36881345832,,,,,,,,1,1,43300,TransLine,20.09859703213933,,,,,,,20298.598,0.58295953,,,,,,0.307861328125
23,41.78548783978656,-71.8068929248695,United States,RI,Providence,171.8,-5,65,4,1,"[19, 20, 35, 34, 33]","[19, 20, 35, 34, 33]","[3014.0, 579.0, 98.0, 327.0, 78.0]",4096,0,0.39268637,,,0.39268637,,33.1776,99.5328,,1,1,342386.1210234375,,,,,,,,1,1,43300,TransLine,27.279572586057668,,,,,,,27479.572,0.76688683,,,,,,1.0
24,41.78565203899262,-71.7376028173905,United States,RI,Providence,177.57142857142858,-5,66,4,2,"[20, 21, 36, 37, 56, 79, 55, 78, 35, 54, 77, 34, 53, 76]","[20, 21, 36, 37, 56, 79, 55, 78, 35, 54, 77, 34, 53, 76]","[49.0, 7.0, 528.0, 104.0, 262.0, 184.0, 528.0, 435.0, 429.0, 525.0, 571.0, 167.0, 230.0, 77.0]",4096,0,0.38329405,,,0.38329405,,33.1776,99.5328,,1,1,334196.8874208984,,,,,,,,1,1,43300,TransLine,25.47482625783855,,,,,,,25674.826,0.73407865,,,,,,1.0
25,41.785774448068054,-71.66831220739236,United States,RI,Providence,165.2,-5,67,4,3,"[79, 80, 81, 78, 77]","[79, 80, 81, 78, 77]","[1530.0, 773.0, 15.0, 1289.0, 310.0]",3917,0,0.35373428,,,0.35373428,,31.7277,95.1831,,1,1,294945.04590512713,,,,,,,,1,1,43300,TransLine,24.902074921718263,,,,,,,25102.074,0.77767754,,,,,,0.956298828125
26,41.785855066279034,-71.59902124141767,United States,RI,Providence,139.5,-5,68,4,4,"[81, 80]","[81, 80]","[52.0, 94.0]",146,0,0.3477782,,,0.3477782,,1.1826,3.5477999999999996,,1,1,10808.504116415976,,,,,,,,1,1,43412,TransLine,14.24808969974192,,,,,,,14448.09,0.45527646,,,,,,0.03564453125000001
28,41.73362843004905,-71.80664594227787,United States,RI,Providence,160.33333333333334,-5,81,5,1,"[19, 33, 34, 32, 51, 50]","[19, 33, 34, 32, 51, 50]","[52.0, 914.0, 53.0, 2857.0, 71.0, 149.0]",4096,0,0.36671698,,,0.36671698,,33.1776,99.5328,,1,1,319743.2229785156,,,,,,,,1,1,43300,TransLine,32.62194224852045,,,,,,,32821.94,0.98084503,,,,,,1.0
29,41.73379233235522,-71.73741159692256,United States,RI,Providence,157.54545454545453,-5,82,5,2,"[34, 53, 76, 77, 33, 52, 75, 51, 74, 50, 73]","[34, 53, 76, 77, 33, 52, 75, 51, 74, 50, 73]","[86.0, 297.0, 718.0, 45.0, 75.0, 526.0, 974.0, 457.0, 782.0, 85.0, 51.0]",4096,0,0.37765312,,,0.37765312,,33.1776,99.5328,,1,1,329278.52446875,,,,,,,,1,1,43300,TransLine,31.12848869532344,,,,,,,31328.488,0.9091038,,,,,,1.0
30,41.73391452009341,-71.66817675056983,United States,RI,Providence,172.8,-5,83,5,3,"[77, 78, 76, 75, 74]","[77, 78, 76, 75, 74]","[898.0, 96.0, 1029.0, 717.0, 26.0]",2766,0,0.3908017,,,0.3908017,,22.4046,67.21379999999999,,1,1,230101.26038272833,,,,,,,,1,1,43412,TransLine,16.35421026480815,,,,,,,16554.21,0.46421498,,,,,,0.67529296875
32,41.68176856097755,-71.80639960683192,United States,RI,Kent,128.66666666666666,-5,97,6,1,"[32, 50, 49, 48, 71, 70]","[32, 50, 49, 48, 71, 70]","[365.0, 205.0, 965.0, 2492.0, 45.0, 24.0]",4096,0,0.35398117,,,0.35398117,,33.1776,99.5328,,1,1,308638.7735493164,,,,,,,,1,1,43300,TransLine,38.08624452219416,,,,,,,38286.246,1.185304,,,,,,1.0
33,41.68193216685586,-71.7372208774955,United States,RI,Kent,132.71428571428572,-5,98,6,2,"[50, 73, 74, 49, 72, 71, 70]","[50, 73, 74, 49, 72, 71, 70]","[196.0, 1008.0, 369.0, 102.0, 634.0, 439.0, 4.0]",2752,0,0.365662,,,0.365662,,22.2912,66.8736,,1,1,214209.4616646652,,,,,,,,1,1,43412,TransLine,21.449619057360433,,,,,,,21649.62,0.6488399,,,,,,0.671875
34,41.68205413360868,-71.66804164867668,United States,RI,Kent,154.0,-5,99,6,3,"[74, 75, 73]","[74, 75, 73]","[538.0, 134.0, 10.0]",682,0,0.37765798,,,0.37765798,,5.5242,16.572599999999998,,1,1,54826.865801025146,,,,,,,,1,1,43412,TransLine,15.690178817735925,,,,,,,15890.179,0.46110225,,,,,,0.16650390625000003
36,41.629908233218366,-71.80615391657724,United States,RI,Kent,128.0,-5,113,7,1,"[48, 70, 69, 68, 98]","[48, 70, 69, 68, 98]","[812.0, 297.0, 936.0, 2040.0, 11.0]",4096,0,0.3652616,,,0.3652616,,33.1776,99.5328,,1,1,318474.278165039,,,,,,,,1,1,43412,TransLine,27.858017406782672,,,,,,,28058.018,0.8418217,,,,,,1.0
37,41.63007154313918,-71.73703065759608,United States,RI,Kent,131.0,-5,114,7,2,"[70, 71, 69, 99, 98, 68]","[70, 71, 69, 99, 98, 68]","[308.0, 45.0, 133.0, 1257.0, 350.0, 1.0]",2094,0,0.35506377,,,0.35506377,,16.961399999999998,50.88419999999999,,1,1,158268.10868087696,,,,,,,,1,1,43412,TransLine,22.260294612250593,,,,,,,22460.295,0.6932282,,,,,,0.51123046875
